campaign_id,date,day_of_week,impression_goal,daily_impressions,total_impressions,target_daily_impressions,target_total_impressions,missing_impressions,total_days,remaining_days,set_cpm,feed_facebook_status,instant_article_facebook_status,facebook_stories_facebook_status,marketplace_facebook_status,right_hand_column_facebook_status
0,2022-04-04,Monday,40000,2556.0,2556.0,1379.3103448275863,1379.3103448275863,-1176.6896551724137,29.0,27.0,3.0,Active,Inactive,Inactive,Active,Inactive
0,2022-04-05,Tuesday,40000,2392.0,4948.0,1379.3103448275863,2758.6206896551726,-2189.3793103448274,29.0,26.0,2.5,Active,Inactive,Inactive,Active,Inactive
0,2022-04-06,Wednesday,40000,2290.0,7238.0,1379.3103448275863,4137.931034482759,-3100.068965517241,29.0,25.0,2.5,Active,Inactive,Inactive,Inactive,Inactive
0,2022-04-07,Thursday,40000,2242.0,9480.0,1379.3103448275863,5517.241379310345,-3962.758620689655,29.0,24.0,2.2,Active,Inactive,Inactive,Inactive,Inactive
0,2022-04-08,Friday,40000,2280.0,11760.0,1379.3103448275863,6896.551724137931,-4863.448275862069,29.0,23.0,1.9,Active,Inactive,Inactive,Inactive,Inactive
0,2022-04-09,Saturday,40000,2262.0,14022.0,1379.3103448275863,8275.862068965518,-5746.137931034482,29.0,22.0,1.9,Active,Inactive,Inactive,Inactive,Inactive
0,2022-04-10,Sunday,40000,5143.0,19165.0,1379.3103448275863,9655.172413793103,-9509.827586206897,29.0,21.0,1.9,Active,Inactive,Inactive,Inactive,Inactive
0,2022-04-11,Monday,40000,864.0,20029.0,1379.3103448275863,11034.48275862069,-8994.51724137931,29.0,20.0,1.1,Active,Inactive,Inactive,Inactive,Inactive
0,2022-04-12,Tuesday,40000,380.0,20409.0,1379.3103448275863,12413.793103448277,-7995.206896551723,29.0,19.0,1.1,Active,Inactive,Inactive,Inactive,Inactive
0,2022-04-13,Wednesday,40000,868.0,21277.0,1379.3103448275863,13793.103448275862,-7483.896551724138,29.0,18.0,1.3,Active,Inactive,Inactive,Inactive,Inactive
0,2022-04-14,Thursday,40000,1383.0,22660.0,1379.3103448275863,15172.41379310345,-7487.586206896551,29.0,17.0,1.45,Active,Inactive,Inactive,Inactive,Inactive
0,2022-04-15,Friday,40000,2086.0,24746.0,1379.3103448275863,16551.724137931036,-8194.275862068964,29.0,16.0,1.45,Active,Inactive,Inactive,Inactive,Inactive
0,2022-04-16,Saturday,40000,1307.0,26053.0,1379.3103448275863,17931.034482758623,-8121.965517241377,29.0,15.0,1.4,Active,Inactive,Inactive,Inactive,Inactive
0,2022-04-17,Sunday,40000,2155.0,28208.0,1379.3103448275863,19310.344827586207,-8897.655172413793,29.0,14.0,1.4,Active,Inactive,Inactive,Inactive,Inactive
0,2022-04-18,Monday,40000,3016.0,31224.0,1379.3103448275863,20689.655172413793,-10534.344827586207,29.0,13.0,1.4,Active,Inactive,Inactive,Inactive,Inactive
0,2022-04-19,Tuesday,40000,1313.0,32537.0,1379.3103448275863,22068.96551724138,-10468.03448275862,29.0,12.0,1.2,Active,Inactive,Inactive,Inactive,Inactive
0,2022-04-20,Wednesday,40000,420.0,32957.0,1379.3103448275863,23448.275862068967,-9508.724137931033,29.0,11.0,1.0,Active,Inactive,Inactive,Inactive,Inactive
0,2022-04-21,Thursday,40000,375.0,33332.0,1379.3103448275863,24827.586206896554,-8504.413793103446,29.0,10.0,1.1,Active,Inactive,Inactive,Inactive,Inactive
0,2022-04-22,Friday,40000,517.0,33849.0,1379.3103448275863,26206.896551724138,-7642.103448275862,29.0,9.0,1.15,Active,Inactive,Inactive,Inactive,Inactive
0,2022-04-23,Saturday,40000,501.0,34350.0,1379.3103448275863,27586.206896551725,-6763.793103448275,29.0,8.0,1.15,Active,Inactive,Inactive,Inactive,Inactive
0,2022-04-24,Sunday,40000,1104.0,35454.0,1379.3103448275863,28965.51724137931,-6488.482758620688,29.0,7.0,1.15,Active,Inactive,Inactive,Inactive,Inactive
0,2022-04-25,Monday,40000,564.0,36018.0,1379.3103448275863,30344.8275862069,-5673.172413793101,29.0,6.0,1.15,Active,Inactive,Inactive,Inactive,Inactive
0,2022-04-26,Tuesday,40000,353.0,36371.0,1379.3103448275863,31724.137931034486,-4646.8620689655145,29.0,5.0,1.15,Active,Inactive,Inactive,Inactive,Inactive
0,2022-04-27,Wednesday,40000,51.0,36422.0,1379.3103448275863,33103.44827586207,-3318.5517241379275,29.0,4.0,1.15,Active,Inactive,Inactive,Inactive,Inactive
0,2022-04-28,Thursday,40000,775.0,37197.0,1379.3103448275863,34482.75862068966,-2714.2413793103406,29.0,3.0,1.35,Active,Inactive,Inactive,Active,Inactive
0,2022-04-29,Friday,40000,632.0,37829.0,1379.3103448275863,35862.06896551725,-1966.9310344827536,29.0,2.0,1.4,Active,Inactive,Inactive,Active,Inactive
0,2022-04-30,Saturday,40000,942.0,38771.0,1379.3103448275863,37241.379310344826,-1529.620689655174,29.0,1.0,1.4,Active,Inactive,Inactive,Active,Inactive
0,2022-05-01,Sunday,40000,4566.0,43337.0,1379.3103448275863,38620.68965517241,-4716.310344827587,29.0,0.0,1.4,Active,Inactive,Inactive,Active,Inactive
